Term	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B01	B02	B03	B04	B05	B06	B07
HALLMARK_NOTCH_SIGNALING	0.308106951654678	0.30716525923036103	0.21880246727309802	0.399643928285921	0.25954708194174697	0.273504463747123	0.283643905268833	0.26425037281151703	0.324387212308014	0.25345792245487603	0.306553148599823	0.293426338786882	0.29888440108906106	0.257060973657759	0.28927694456918895	0.316617898826898	0.272622544734996	0.24625959902109898
HALLMARK_ADIPOGENESIS	0.257864203003254	0.28000054736885804	0.29385824043521996	0.297673801064721	0.27867119193902	0.290959392300048	0.309089322705096	0.31111034703571006	0.27354558176714006	0.266157948809149	0.28092645898705	0.296547953519798	0.31644051434559195	0.30284583377537394	0.3184001857311	0.323708702172028	0.30240659796985303	0.303484121813564
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0612567224197756	0.0417158597184817	0.09450336509539801	0.12715904858372598	0.071121363895435	0.0806247596365185	0.111072331206444	0.100088467421322	0.0590032598835001	0.10929283281591	0.054103059807272	0.0674262026390596	0.11228344691824199	0.084655931165727	0.12141520770154199	0.142185534993126	0.0700020358178965	0.12763109001446302
HALLMARK_ESTROGEN_RESPONSE_LATE	0.11010846578017401	0.11609884581426	0.089574414345688	0.104232023615834	0.124977214336513	0.141680905275573	0.11849840793091901	0.146276122891431	0.0973171245127696	0.10000816222083998	0.0895852178360969	0.113769258104696	0.11863901464788301	0.140148554802617	0.125842889589039	0.137407553170719	0.11003079979771602	0.143866135499048
HALLMARK_ANDROGEN_RESPONSE	0.341437369624335	0.396952707837306	0.42802983218491397	0.34520057470636895	0.382173763822798	0.39325029292615504	0.36441118289524704	0.4362624612617029	0.3708916384276839	0.34109971038235704	0.41420690267184707	0.42818829162640004	0.41381016078755	0.48883620222352503	0.41118010528588506	0.390754842043596	0.37824880659926297	0.416881079486081
HALLMARK_MYOGENESIS	0.11471484695337401	0.136378646275423	0.16826716888600599	0.27449919381928	0.136761470039371	0.10227598537795199	0.10937498938486802	0.165138078858759	0.13395081390283098	0.158423820931754	0.0994072821658148	0.14941276036644502	0.12218487419763699	0.121015196305883	0.138699565137914	0.16923127343449101	0.125038804693905	0.11601760694736502
HALLMARK_PROTEIN_SECRETION	0.45838738090222503	0.498428805456025	0.49007347262367895	0.479873849095125	0.47467882994420096	0.5154773729904529	0.460307310033364	0.49704667605670705	0.460274212617056	0.45476947520247496	0.530050280493949	0.5487007295930291	0.526810915239418	0.5247834778838161	0.48157752147340405	0.469446661938419	0.501700146853865	0.550565845748615
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.203183252634783	0.348652458437499	0.4023347753810179	0.360814417209884	0.4267773527523329	0.41488806026436004	0.32546454321350204	0.341450037752178	0.25346523613847	0.22119998814469102	0.414052008534605	0.39525395285787	0.37233245751557703	0.49632578160660995	0.506224594556931	0.41860971497156607	0.28283492505888896	0.336357794189708
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.18833300880787499	0.28011075971699395	0.358682495937178	0.34934003090773	0.292580580188222	0.29765176581599395	0.268760468761473	0.31441670369656394	0.21117028878099603	0.17908163822405604	0.3422710231317931	0.325986753494377	0.30217846339635995	0.416348364972741	0.410031939751765	0.367012770754176	0.225278657623627	0.277352567543599
HALLMARK_APICAL_JUNCTION	0.243215035598258	0.239048086534742	0.26369003487448606	0.293395138199121	0.24122119053771998	0.25599333156334503	0.24833675680995698	0.264119838840052	0.25113878103349896	0.241365969871393	0.257313438246198	0.304644400906041	0.254038562158306	0.243558917649355	0.309697151309563	0.281056169672668	0.266317167216249	0.269400026435705
HALLMARK_APICAL_SURFACE	0.141432645393389	0.12478147933504598	0.0866474697926318	0.14779661984238096	0.0966716585398487	0.10723469016862999	0.15040979785807002	0.162900965374605	0.11349429871885301	0.146927435938151	0.10732210636406402	0.122993264983628	0.15794224775789997	0.209814639755511	0.14671067190201298	0.136198519431526	0.0379402738607191	0.169901202513316
HALLMARK_HEDGEHOG_SIGNALING	0.0574132970639421	0.0259370408591174	0.0875824468517333	-0.009820226228806371	0.012310393902472	0.0763691703130457	0.0901994873941077	-0.000739618817116593	0.105785381812526	0.0259894028193463	0.0619692370294457	0.100668875322101	0.0984842332299568	0.0636166118199853	0.0369451592822692	0.005253986435295161	0.0452901415372974	0.0513365099323521
HALLMARK_COMPLEMENT	0.12843817156084	0.22851328884293898	0.255176245292162	0.249552337889205	0.163439978665517	0.226181163466391	0.199473008335238	0.26521300809827	0.170852641827754	0.191619419990475	0.20236630226570998	0.254700033003863	0.196557032886859	0.28686263115503696	0.252138984648216	0.269042420976573	0.15552829279651198	0.243338084025288
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.4180123912096789	0.50359884288014	0.47486186779117395	0.46272927651021994	0.485509205845989	0.4910736568795711	0.46737775231586703	0.4946425055671211	0.502747458476027	0.42726119443184496	0.539315004598964	0.49741601067627705	0.518010588400303	0.54877188922631	0.5068228612605921	0.48045987526495293	0.46843653339013397	0.49862805690104706
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.259590243934899	0.26358582536584196	0.24238506781409197	0.23501625408789	0.26582406402769504	0.244168699123131	0.276383162178522	0.258944203301424	0.24034474197669298	0.263484309638305	0.308425392220623	0.272658888352865	0.26747702144414	0.255285770248627	0.27664993975347496	0.296497555542561	0.260123302273155	0.282128714187041
HALLMARK_MTORC1_SIGNALING	0.34441043065087495	0.399469581251576	0.354772787083991	0.35944898562828004	0.3875431313805779	0.352137788992776	0.38603027222113295	0.38135889338241397	0.388402142947937	0.35316166301167695	0.416104162027121	0.36795526432676395	0.438303384322992	0.448328543406346	0.401902587577343	0.39879736957946704	0.408126077674623	0.39041074079523297
HALLMARK_E2F_TARGETS	0.327818260853102	0.38169499564885206	0.252997809059171	0.23920397047972303	0.37054344227143704	0.286843044783371	0.36760731685408204	0.24405550396927397	0.375953397303824	0.308362325690593	0.38172047170878404	0.248606947616389	0.40730439712727795	0.42437047245765297	0.37757355466360293	0.261904259671876	0.33657491535754397	0.30507682437862205
HALLMARK_MYC_TARGETS_V1	0.5822449635129511	0.66133940117477	0.5956821358358331	0.5933897170441861	0.6275827051641129	0.6390173607953871	0.644386302884968	0.603541408790474	0.693545721676907	0.6321342874105229	0.691432916132686	0.5973426772960511	0.695917521400148	0.7251617363019242	0.668710758277978	0.630542081660126	0.650269995764079	0.6520053052469941
HALLMARK_MYC_TARGETS_V2	0.301302526221265	0.31956999857846596	0.27831769279079904	0.219973847343093	0.34194824276613506	0.283564042721014	0.324428694838889	0.243005551742603	0.34865505971882105	0.300711932262197	0.295781060039226	0.261113778765685	0.335150113998593	0.303107915887325	0.34699026188190996	0.269181050443823	0.285056053436878	0.287171699350743
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.228854254131983	0.31309539857390994	0.41413299626075795	0.360926542359034	0.22325195531141	0.32267297392933897	0.301548774590445	0.49710102562193104	0.30465443171995504	0.324961811750407	0.332364645265266	0.483315637565286	0.377245493324883	0.43422463707547704	0.413895421588038	0.401033251489932	0.260728936856223	0.339046655801293
HALLMARK_INFLAMMATORY_RESPONSE	0.00950516379933088	0.0346573291699548	0.114012576173057	0.121197882760941	0.00731232271562654	0.0488884196529115	0.0574159047425813	0.104037167058171	0.0324570255678173	0.0258898265803807	0.0622805415927104	0.110036928273634	0.0662213046438619	0.177667712795191	0.19193588013493804	0.168205522632443	0.0280085174622094	0.11192526478431301
HALLMARK_XENOBIOTIC_METABOLISM	0.10697102611698299	0.12944511062498898	0.12036789933897801	0.136280787526313	0.10528650688427199	0.111402983363756	0.120828550674039	0.12480555412230199	0.0879816929304451	0.144240655263257	0.0881455085556684	0.120662926222952	0.0896430528043193	0.121890514583429	0.137405773690139	0.134450313286828	0.0849468202857432	0.129810696152942
HALLMARK_FATTY_ACID_METABOLISM	0.201815887738716	0.215997503820154	0.189492870714892	0.24869031901719102	0.19639064638454698	0.207920331540578	0.243597833523918	0.22598799999528799	0.24205351120135898	0.22567784175377104	0.24361243020278	0.224817767395173	0.256615255147976	0.233355951609145	0.24231494608800103	0.267774035038599	0.25786980101434304	0.231694100516171
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.439499980176999	0.511767919705987	0.45513928615646293	0.46729052074855	0.49845186122723995	0.5109723726224361	0.49025180535177404	0.476667588637238	0.5290236499347429	0.479671065272289	0.5432622111474821	0.491279751286047	0.550728704991318	0.5770697781844389	0.49824343671268106	0.467552933817642	0.48190812110328896	0.5289393275658689
HALLMARK_GLYCOLYSIS	0.189614602388046	0.189500471523212	0.165298484339738	0.18663717367899202	0.18666313796304895	0.162924878246642	0.20227287446815803	0.22217899352685	0.21908300229124603	0.17779820102929997	0.21728476481007897	0.196633216824548	0.244013268375808	0.248535252251111	0.231264748767025	0.16202966054726	0.18288094444746103	0.23980932098085395
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.333562483950166	0.395530257197966	0.36231893373014296	0.3828934991889051	0.405230080383039	0.390784180929536	0.45436012301338896	0.43375161570101095	0.408124064439313	0.397798374732095	0.37766788311671795	0.38991478799341	0.426428258251821	0.46158561816555105	0.45627466373101006	0.433412345771476	0.452112482365444	0.431812440123239
HALLMARK_P53_PATHWAY	0.153370509040093	0.173776670003641	0.17687078600437697	0.1323989326998	0.166064472264619	0.16637753209715	0.177302450794299	0.18381948074195395	0.160717139598721	0.164132488522942	0.159070278413561	0.161229066242115	0.18236532904956798	0.186264057455507	0.198201861096489	0.19565546510599	0.179055036367178	0.17782318273397799
HALLMARK_UV_RESPONSE_UP	0.18659353791961103	0.19736190792641398	0.22172264174141698	0.232642250496855	0.21170347787729601	0.16633695499968	0.17339736040360199	0.192730088482978	0.203801330655246	0.178688049015595	0.176240917613852	0.17551232983391102	0.19765205517702802	0.234712824415172	0.24390805183555997	0.196441408855053	0.213739825987307	0.19057078160795302
HALLMARK_UV_RESPONSE_DN	0.23995007683347103	0.263800556808828	0.31520286056326	0.244394589544737	0.20271600242666502	0.27052901513233396	0.21087816784166397	0.33502438752610103	0.269007767710094	0.255375388089643	0.28475483364017307	0.374584817730339	0.247969819823291	0.292418695670192	0.27785619718256604	0.299624671645844	0.270541155197618	0.256877468506958
HALLMARK_ANGIOGENESIS	0.142854638617336	0.18602040457564897	0.262293095760901	0.197647421041496	0.13625792984413101	0.17883089412861605	0.22948700640654798	0.33647599988612503	0.165611336786897	0.242948538783291	0.177973567343983	0.261586347683838	0.23492142608345498	0.24457960574559498	0.21064330396639605	0.283145536088555	0.0894760946157139	0.227968461746541
HALLMARK_HEME_METABOLISM	0.211693012816967	0.247755039420381	0.268872327334851	0.208526828531615	0.23853182595787698	0.27605147364582105	0.23679836363208398	0.23774523251732602	0.21764027075769604	0.191554753162916	0.27728468577763693	0.24684678407050603	0.227845406902744	0.293134207888797	0.245956798651263	0.22998921616315302	0.22448208961710003	0.26116333139944004
HALLMARK_COAGULATION	0.11019488146679199	0.183614750709459	0.207349881537277	0.19421518236766602	0.11240888335711999	0.18340249617890697	0.17164589614738598	0.245007448983966	0.13436104595072598	0.18355261964624497	0.144965840827746	0.213023788055862	0.173287550248762	0.19495673817438502	0.21975241635914103	0.231472657592136	0.179358121509017	0.199366604755311
HALLMARK_IL2_STAT5_SIGNALING	0.206833005184898	0.200714147293543	0.25429116505376204	0.23644057301305202	0.191663758455933	0.22814135253486398	0.18613223694564102	0.251340546669066	0.193106590929504	0.16160114537513298	0.22193058225903198	0.258770919724993	0.213254734451103	0.284525108456971	0.271541430039448	0.236248119912781	0.214391845792232	0.24597605450131302
HALLMARK_BILE_ACID_METABOLISM	0.0177027151679846	0.0133507710434816	0.0688811792138305	0.0695752177908762	0.0463530807242387	0.0260000276532807	0.0776543408096049	0.100621179242032	0.0349903017579726	0.0349903423175438	0.00493347783154301	0.0654638119816271	0.0330247433639579	0.0500008984613821	0.0470649423501849	0.0817648300185602	0.0549016298639448	0.0250141044654245
HALLMARK_PEROXISOME	0.157013523100068	0.21035672833600602	0.15930343143536402	0.211823763260196	0.200960985165089	0.18011085924459805	0.231538385660455	0.17782837291094603	0.18281914453842002	0.17557267015648403	0.213463562934088	0.20876760930646396	0.201245618602595	0.18372564249654602	0.22778542957111703	0.188065774026359	0.180105331073023	0.20164912301863
HALLMARK_ALLOGRAFT_REJECTION	0.10110182152809698	0.18710344173197302	0.240944011052215	0.20621912677538898	0.11349198007877	0.19483149570613198	0.149783382666102	0.19274003863987402	0.1312531068689	0.14369602608798698	0.18627517858783105	0.208717096519883	0.163831707305161	0.28513994277211796	0.289050691817876	0.232394278619737	0.15303842398395498	0.20870417363916396
HALLMARK_SPERMATOGENESIS	0.0592226326324915	0.0885525599490841	-0.0137329033351449	0.0754593360402561	0.0749041540584239	0.0231173186164548	0.0763409311936384	0.0339883858505015	0.0459370237335931	0.0710276342688568	0.0732838952017706	0.025097030423956	0.0394193872427329	0.055471441869003	0.00925767522729013	0.0407080413975112	0.0961674562362968	0.0009720016189125641
HALLMARK_KRAS_SIGNALING_UP	0.16886968498101598	0.199723480638059	0.262265077267695	0.24137578595896803	0.1259934379415	0.186807747424105	0.15422458150422302	0.22783257745799199	0.18070237229605499	0.176331584846357	0.178978311653251	0.20534405751561802	0.19451941668793202	0.250852722092441	0.275578308094032	0.23751602510017897	0.15176991209702098	0.19136656116063502
HALLMARK_KRAS_SIGNALING_DN	-0.11136627323970201	-0.11631878505791901	-0.122007057480739	-0.0965968712833543	-0.106268931457176	-0.118997256123669	-0.10254942308938	-0.109273672569541	-0.13614652055218	-0.11540483266492099	-0.16299382155624698	-0.194360381252151	-0.160989836149549	-0.17714509246288698	-0.127593004699562	-0.12078930828774599	-0.14517828112820003	-0.14008955488247798
HALLMARK_PANCREAS_BETA_CELLS	-0.146456612006673	-0.171529521993467	-0.22951954363107302	-0.139607336836339	-0.137008014222262	-0.151976367025443	-0.23980869514225897	-0.162334745025763	-0.16449871759628198	-0.187456511781184	-0.274838263698076	-0.140450593137818	-0.26018936676426296	-0.22930274344181198	-0.17695383208956	-0.126335498667392	-0.192171862258018	-0.198106358789386
StromalSignature	0.0683007848914985	0.0706668603574145	0.269651269523971	0.224185786987981	0.0234227358679325	0.15740081915453302	0.155406692610671	0.2926640085325539	0.0959769917223855	0.135367856096854	0.143774132550823	0.32226542105723	0.187725328689552	0.26357010448427104	0.265690653548946	0.24725562040615698	0.12224238579995901	0.15287557012524403
ImmuneSignature	0.074691187529711	0.16946713330170698	0.345730179008782	0.31735948642006606	0.0691136251680877	0.19718181182615696	0.135779197633631	0.299571602304531	0.0633718176784761	0.10388037853333401	0.178509914123334	0.250047417728228	0.16328647469499302	0.33413353398145396	0.36304628034521297	0.328659495673544	0.0907211228237184	0.22691985367312598
TumourCellularity_mRNA	7.943270141045911e-05	7.66667621890125e-05	5.9192422942303296e-05	6.21334245328796e-05	8.16969306236923e-05	7.162672982403701e-05	7.40642463850946e-05	6.0612687011952795e-05	7.945864621820981e-05	7.59799321192596e-05	7.311963070613531e-05	6.15179694079678e-05	7.210123781815619e-05	6.06819266373713e-05	5.87923986468619e-05	6.0898523975285305e-05	7.71457890167606e-05	7.0817121945398e-05
