"","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19T10","RG19T11","RG19T7","RG19T8","RG19T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20T10","RG20T12","RG20T14","RG20T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"HALLMARK_ANDROGEN_RESPONSE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1
"HALLMARK_MYOGENESIS",3,1,1,2,2,2,0,2,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,2,1,1,4,2,2,2,4,4,4,4,4,3,4,4,3,4,4,4,1,3,1,4
"HALLMARK_PROTEIN_SECRETION",1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,1,2,1,2
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2,2,2,2,2,2,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,2,2,0,2
"HALLMARK_APICAL_JUNCTION",3,2,2,2,2,2,1,0,2,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,1,2,2,2,1,1,2,3,3,3,3,3,0,1,0,1,0,0,1,3,4,3,4
"HALLMARK_APICAL_SURFACE",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2
"HALLMARK_HEDGEHOG_SIGNALING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"HALLMARK_COMPLEMENT",1,2,1,1,1,1,2,1,1,0,0,1,1,2,1,1,1,3,2,2,1,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,1,0,0,2,2,1,1,2,2,2,2,2,2,2
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"HALLMARK_MTORC1_SIGNALING",3,1,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
"HALLMARK_E2F_TARGETS",6,5,6,6,6,7,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,6,5,5,5
"HALLMARK_MYC_TARGETS_V1",2,1,2,2,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4
"HALLMARK_MYC_TARGETS_V2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4,3,2,3,3,2,1,1,2,1,0,1,1,2,2,0,0,2,3,2,1,0,1,0,0,0,2,1,2,2,1,0,0,0,3,3,3,3,3,2,3,2,2,3,2,1,5,5,5,5
"HALLMARK_INFLAMMATORY_RESPONSE",2,3,2,2,2,2,1,2,1,0,0,0,0,0,0,1,1,3,1,1,1,1,2,1,2,1,0,0,1,1,0,0,0,0,2,2,1,2,2,0,0,0,0,0,1,0,2,1,1,1
"HALLMARK_XENOBIOTIC_METABOLISM",1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"HALLMARK_FATTY_ACID_METABOLISM",2,3,2,2,2,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
"HALLMARK_GLYCOLYSIS",3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,2,1,1,1,1,0,1,1,2,1
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"HALLMARK_P53_PATHWAY",3,1,1,1,1,1,0,1,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,1,1,2,2,2,4,4,4,4
"HALLMARK_UV_RESPONSE_UP",2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,3,3,3,3,1,1,1,1,1,1,1,3,4,3,3
"HALLMARK_UV_RESPONSE_DN",4,3,4,4,4,3,2,1,2,1,1,2,2,2,3,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,2,2,2,2,0,1,1,0,0,0,0,2,2,2,2
"HALLMARK_ANGIOGENESIS",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"HALLMARK_HEME_METABOLISM",1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"HALLMARK_COAGULATION",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,2,2,2,2,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"HALLMARK_IL2_STAT5_SIGNALING",2,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,1,0,1,1,2,2,2,2,2,1,2,2,1,1,0,0,1,3,1,2
"HALLMARK_BILE_ACID_METABOLISM",1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
"HALLMARK_PEROXISOME",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"HALLMARK_ALLOGRAFT_REJECTION",4,3,3,3,3,3,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2
"HALLMARK_SPERMATOGENESIS",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,2,3,2
"HALLMARK_KRAS_SIGNALING_UP",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,0,1,2,2,1
"HALLMARK_KRAS_SIGNALING_DN",2,1,1,3,4,1,0,2,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,3,2,2,3,2,1,1,1,1,2,2,2,2,2,2,2,0,0,1,1
"HALLMARK_PANCREAS_BETA_CELLS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"StromalSignature",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1,3,1,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,2
"ImmuneSignature",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
