NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,,187,-0.27932703,-1.3623476,0.019154819,0.052137837,0.5915,2567,"tags=28%, list=19%, signal=34%"
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,,42,-0.35218382,-1.3210611,0.09034579,0.0712586,0.7232,2466,"tags=33%, list=18%, signal=41%"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,,66,-0.31183317,-1.2856874,0.092738755,0.09227098,0.8249,3526,"tags=38%, list=26%, signal=51%"
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,,142,-0.25943756,-1.2289493,0.089808665,0.13885391,0.9329,3427,"tags=32%, list=25%, signal=43%"
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,,30,-0.35345027,-1.2229191,0.17863573,0.1398487,0.9405,2492,"tags=33%, list=19%, signal=41%"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,,102,-0.2661608,-1.1860024,0.15378533,0.1770042,0.976,1732,"tags=19%, list=13%, signal=21%"
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,,179,-0.2344762,-1.1432756,0.17324218,0.23074193,0.9943,2522,"tags=26%, list=19%, signal=31%"
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,,38,-0.29672945,-1.0863779,0.32305846,0.32227334,0.9994,4125,"tags=42%, list=31%, signal=61%"
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,,184,-0.20980832,-1.0250142,0.38339844,0.44539902,1,1788,"tags=16%, list=13%, signal=19%"
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,,51,-0.25467667,-0.99855,0.4529148,0.49591023,1,2567,"tags=29%, list=19%, signal=36%"
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,,143,-0.21046002,-0.9926004,0.4602895,0.4959871,1,2436,"tags=24%, list=18%, signal=30%"
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,,110,-0.21879439,-0.9890704,0.46939966,0.48972937,1,3099,"tags=31%, list=23%, signal=40%"
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,,32,-0.21069044,-0.74080867,0.87222767,0.9581249,1,1641,"tags=13%, list=12%, signal=14%"
