NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,128,0.31672823,1.0933638,0.2317,0.71799654,1,6278,"tags=36%, list=29%, signal=50%"
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Details ...,182,0.3071052,1.0834663,0.2182,0.7446311,1,8231,"tags=44%, list=38%, signal=70%"
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,190,0.30600664,1.081513,0.2245,0.71692413,1,6833,"tags=35%, list=31%, signal=51%"
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,188,0.3005693,1.0611707,0.2739,0.8190791,1,9109,"tags=46%, list=42%, signal=79%"
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,Details ...,147,0.30385455,1.0602672,0.2979,0.78443295,1,8514,"tags=45%, list=39%, signal=73%"
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,,193,0.30000222,1.060172,0.2798,0.7476888,1,7916,"tags=43%, list=36%, signal=67%"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,189,0.29983407,1.0580616,0.2927,0.727251,1,8960,"tags=44%, list=41%, signal=75%"
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,,177,0.3004535,1.0564201,0.3026,0.70556813,1,10010,"tags=48%, list=46%, signal=88%"
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,,191,0.29871097,1.0554788,0.3021,0.6818122,1,6552,"tags=35%, list=30%, signal=49%"
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,,148,0.29829285,1.0398682,0.3608,0.74599856,1,7207,"tags=36%, list=33%, signal=53%"
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,,128,0.29981425,1.0359763,0.3884,0.73955023,1,9381,"tags=47%, list=43%, signal=82%"
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,,187,0.29390106,1.035797,0.3696,0.7131186,1,9350,"tags=47%, list=43%, signal=82%"
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,,53,0.3195209,1.0317359,0.4250425,0.7094979,1,10925,"tags=60%, list=50%, signal=120%"
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,,188,0.29176497,1.0285918,0.3928,0.7021323,1,7452,"tags=38%, list=34%, signal=58%"
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,,79,0.30591017,1.0207398,0.4392,0.7197196,1,7690,"tags=42%, list=35%, signal=64%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,,35,0.32715014,1.0132408,0.46982154,0.7349733,1,6421,"tags=31%, list=29%, signal=44%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,,95,0.29509333,1.0021205,0.4872,0.76764,1,5533,"tags=27%, list=25%, signal=36%"
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,,185,0.2805039,0.98885155,0.5454,0.8088126,1,6915,"tags=34%, list=32%, signal=49%"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,,106,0.28624722,0.97603977,0.5718,0.8448378,1,8411,"tags=42%, list=38%, signal=67%"
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,,190,0.2745509,0.97094417,0.6026,0.8434679,1,12219,"tags=63%, list=56%, signal=141%"
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,,134,0.2787954,0.9661117,0.609,0.84063107,1,9163,"tags=45%, list=42%, signal=77%"
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,,189,0.27283517,0.96457523,0.6266,0.8240253,1,11424,"tags=56%, list=52%, signal=115%"
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,,187,0.26811862,0.94505733,0.6976,0.87868077,1,10891,"tags=52%, list=50%, signal=104%"
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,,184,0.26800635,0.9434927,0.699,0.861917,1,8030,"tags=37%, list=37%, signal=58%"
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,,44,0.29233557,0.9282688,0.64304304,0.8934,1,5573,"tags=27%, list=25%, signal=37%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,,184,0.2630879,0.9265862,0.7535,0.87728286,1,10773,"tags=50%, list=49%, signal=98%"
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,,32,0.30101967,0.9253454,0.6334905,0.86013615,1,7031,"tags=38%, list=32%, signal=55%"
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,,194,0.26001596,0.9197408,0.7741,0.8575082,1,8158,"tags=38%, list=37%, signal=59%"
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,,136,0.25490692,0.88287747,0.8293,0.933145,1,12199,"tags=58%, list=56%, signal=131%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,,171,0.25146148,0.88200456,0.8577,0.91427916,1,11691,"tags=56%, list=53%, signal=118%"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,194,0.24886051,0.8779744,0.8778,0.9026567,1,10888,"tags=47%, list=50%, signal=94%"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,,41,0.2752174,0.86885446,0.748473,0.90146124,1,2523,"tags=17%, list=12%, signal=19%"
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,,38,0.27665496,0.86632496,0.7494239,0.8873252,1,7786,"tags=42%, list=36%, signal=65%"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,,70,0.24191475,0.80056715,0.8973,0.9545249,1,7990,"tags=36%, list=37%, signal=56%"
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,,32,0.25265318,0.77510357,0.85595345,0.95418245,1,8758,"tags=41%, list=40%, signal=68%"
