"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"HALLMARK_HYPOXIA"	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	"HALLMARK_MITOTIC_SPINDLE"	"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	"HALLMARK_TGF_BETA_SIGNALING"	"HALLMARK_IL6_JAK_STAT3_SIGNALING"	"HALLMARK_DNA_REPAIR"	"HALLMARK_G2M_CHECKPOINT"	"HALLMARK_APOPTOSIS"	"HALLMARK_NOTCH_SIGNALING"	"HALLMARK_ADIPOGENESIS"	"HALLMARK_ESTROGEN_RESPONSE_EARLY"	"HALLMARK_ESTROGEN_RESPONSE_LATE"	"HALLMARK_ANDROGEN_RESPONSE"	"HALLMARK_MYOGENESIS"	"HALLMARK_PROTEIN_SECRETION"	"HALLMARK_INTERFERON_ALPHA_RESPONSE"	"HALLMARK_INTERFERON_GAMMA_RESPONSE"	"HALLMARK_APICAL_JUNCTION"	"HALLMARK_APICAL_SURFACE"	"HALLMARK_HEDGEHOG_SIGNALING"	"HALLMARK_COMPLEMENT"	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	"HALLMARK_MTORC1_SIGNALING"	"HALLMARK_E2F_TARGETS"	"HALLMARK_MYC_TARGETS_V1"	"HALLMARK_MYC_TARGETS_V2"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_INFLAMMATORY_RESPONSE"	"HALLMARK_XENOBIOTIC_METABOLISM"	"HALLMARK_FATTY_ACID_METABOLISM"	"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	"HALLMARK_GLYCOLYSIS"	"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	"HALLMARK_P53_PATHWAY"	"HALLMARK_UV_RESPONSE_UP"	"HALLMARK_UV_RESPONSE_DN"	"HALLMARK_ANGIOGENESIS"	"HALLMARK_HEME_METABOLISM"	"HALLMARK_COAGULATION"	"HALLMARK_IL2_STAT5_SIGNALING"	"HALLMARK_BILE_ACID_METABOLISM"	"HALLMARK_PEROXISOME"	"HALLMARK_ALLOGRAFT_REJECTION"	"HALLMARK_SPERMATOGENESIS"	"HALLMARK_KRAS_SIGNALING_UP"	"HALLMARK_KRAS_SIGNALING_DN"	"HALLMARK_PANCREAS_BETA_CELLS"	"StromalSignature"	"ImmuneSignature"
"HALLMARK_NOTCH_SIGNALING"	0.0909090909090909	0.0606060606060606	0.0606060606060606	0.0303030303030303	0.272727272727273	0.0303030303030303	0.0303030303030303	0.0606060606060606	0.121212121212121	0.0909090909090909	1	0	0.0606060606060606	0.0303030303030303	0.0606060606060606	0.0606060606060606	0.0303030303030303	0.0303030303030303	0	0	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0.0303030303030303	0	0	0.0303030303030303	0.0303030303030303	0.0606060606060606	0.0303030303030303	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0909090909090909	0.0606060606060606	0	0.0303030303030303	0	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0	0.0303030303030303	0.0303030303030303	0.0606060606060606	0.0303030303030303
"HALLMARK_ADIPOGENESIS"	0.03	0.055	0.0533333333333333	0.005	0	0	0.0227272727272727	0.0132450331125828	0.005	0.0432098765432099	0	1	0.02	0.04	0.0196078431372549	0.045	0.0309278350515464	0	0.01	0.01	0.0222222222222222	0	0.02	0.0263157894736842	0	0.07	0.01	0.015	0.0169491525423729	0.015	0.005	0.08	0.182389937106918	0.205	0.05	0.08	0.02	0.0377358490566038	0.0206896551724138	0.027027027027027	0.025	0.00719424460431655	0.035	0.079646017699115	0.0952380952380952	0.005	0.0147058823529412	0.02	0	0	0.028169014084507	0.00704225352112676
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.065	0.065	0.0533333333333333	0.015	0.0465116279069767	0.0545454545454545	0.0340909090909091	0.00662251655629139	0.015	0.037037037037037	0.0606060606060606	0.02	1	0.505	0.0882352941176471	0.05	0.0206185567010309	0.0102040816326531	0.005	0.015	0.0222222222222222	0.027027027027027	0.01	0.043859649122807	0.0283018867924528	0.05	0.005	0.005	0.0508474576271186	0.03	0.025	0.025	0.0188679245283019	0	0.04	0	0.04	0.0566037735849057	0.0482758620689655	0	0.02	0.00719424460431655	0.06	0.0442477876106195	0.0476190476190476	0.01	0	0.01	0.015	0	0.00704225352112676	0
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.06	0.06	0.0666666666666667	0.02	0.0232558139534884	0.0727272727272727	0.0454545454545455	0.00662251655629139	0.04	0.0555555555555556	0.0303030303030303	0.04	0.505	1	0.0882352941176471	0.03	0.0103092783505155	0.0102040816326531	0.015	0.02	0	0	0.03	0.0350877192982456	0.0188679245283019	0.055	0.02	0.01	0.0508474576271186	0.04	0.005	0.055	0.0377358490566038	0.015	0.04	0	0.045	0.0691823899371069	0.0275862068965517	0.027027027027027	0.01	0.0431654676258993	0.04	0.0442477876106195	0.0476190476190476	0.01	0.0147058823529412	0.04	0.025	0	0.028169014084507	0.00704225352112676
"HALLMARK_ANDROGEN_RESPONSE"	0.0882352941176471	0.0294117647058824	0.0666666666666667	0.00980392156862745	0.0232558139534884	0.0363636363636364	0.0113636363636364	0.0196078431372549	0.00980392156862745	0.0588235294117647	0.0606060606060606	0.0196078431372549	0.0882352941176471	0.0882352941176471	1	0.0196078431372549	0.0515463917525773	0.0204081632653061	0.0196078431372549	0.0294117647058824	0.0444444444444444	0.0540540540540541	0.00980392156862745	0.0294117647058824	0.0294117647058824	0.107843137254902	0.0196078431372549	0.0196078431372549	0.0677966101694915	0.0294117647058824	0.0196078431372549	0.0294117647058824	0.0784313725490196	0	0.0196078431372549	0.04	0.0392156862745098	0.0196078431372549	0.0588235294117647	0.0540540540540541	0.0392156862745098	0.00980392156862745	0.0392156862745098	0.0392156862745098	0.0490196078431373	0.0392156862745098	0.0196078431372549	0.0490196078431373	0.0294117647058824	0.024390243902439	0.0196078431372549	0.00980392156862745
"HALLMARK_MYOGENESIS"	0.025	0.065	0.04	0.02	0.0697674418604651	0.0363636363636364	0.0227272727272727	0.00662251655629139	0.01	0.0555555555555556	0.0606060606060606	0.045	0.05	0.03	0.0196078431372549	1	0.0103092783505155	0	0.01	0.06	0.0222222222222222	0.0540540540540541	0.025	0.0175438596491228	0.0283018867924528	0.025	0.005	0.005	0	0.1	0.02	0.02	0.0251572327044025	0.005	0.04	0.08	0.065	0.0188679245283019	0.0275862068965517	0.0540540540540541	0.015	0.0359712230215827	0.03	0.0176991150442478	0.0285714285714286	0.01	0.0147058823529412	0.025	0.035	0	0.0563380281690141	0.0140845070422535
"HALLMARK_PROTEIN_SECRETION"	0.0103092783505155	0.0412371134020619	0.0133333333333333	0.0309278350515464	0.0232558139534884	0.0181818181818182	0.0113636363636364	0.0309278350515464	0	0.0618556701030928	0.0303030303030303	0.0309278350515464	0.0206185567010309	0.0103092783505155	0.0515463917525773	0.0103092783505155	1	0.0103092783505155	0.0103092783505155	0.0103092783505155	0.0444444444444444	0.027027027027027	0.0206185567010309	0.0309278350515464	0.0721649484536082	0.0515463917525773	0.0206185567010309	0.0103092783505155	0.0169491525423729	0.0103092783505155	0.0206185567010309	0	0.0103092783505155	0.0103092783505155	0.0515463917525773	0.04	0	0.0412371134020619	0.0206185567010309	0.027027027027027	0.0206185567010309	0.0206185567010309	0.0103092783505155	0.0309278350515464	0.0309278350515464	0.0206185567010309	0.0103092783505155	0	0.0103092783505155	0.024390243902439	0.0103092783505155	0.0103092783505155
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	0.0918367346938776	0.0102040816326531	0.0266666666666667	0	0.0232558139534884	0.0181818181818182	0.102272727272727	0.0204081632653061	0	0.0816326530612245	0.0303030303030303	0	0.0102040816326531	0.0102040816326531	0.0204081632653061	0	0.0103092783505155	1	0.744897959183674	0	0.0222222222222222	0.027027027027027	0.0816326530612245	0.0102040816326531	0.0204081632653061	0.0306122448979592	0	0	0.0169491525423729	0.0102040816326531	0.173469387755102	0	0.0306122448979592	0	0.0102040816326531	0.02	0.0612244897959184	0.0408163265306122	0.0102040816326531	0.027027027027027	0	0.0204081632653061	0.0714285714285714	0.0102040816326531	0.0102040816326531	0.122448979591837	0.0102040816326531	0.0204081632653061	0.0306122448979592	0.024390243902439	0.0204081632653061	0.0816326530612245
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	0.135	0.04	0.0133333333333333	0.005	0	0	0.25	0.0198675496688742	0.015	0.111111111111111	0	0.01	0.005	0.015	0.0196078431372549	0.01	0.0103092783505155	0.744897959183674	1	0.02	0.0222222222222222	0.027027027027027	0.115	0.0263157894736842	0.0471698113207547	0.04	0.01	0.01	0	0.025	0.185	0.035	0.0125786163522013	0.005	0.015	0.04	0.055	0.0566037735849057	0.0137931034482759	0	0.005	0.0359712230215827	0.095	0.00884955752212389	0.0285714285714286	0.185	0.00735294117647059	0.05	0.015	0	0.0422535211267606	0.140845070422535
"HALLMARK_APICAL_JUNCTION"	0.02	0.02	0.04	0.07	0.0232558139534884	0.0363636363636364	0	0.00662251655629139	0.01	0.0123456790123457	0	0.01	0.015	0.02	0.0294117647058824	0.06	0.0103092783505155	0	0.02	1	0.111111111111111	0.108108108108108	0.03	0.0087719298245614	0.0566037735849057	0.02	0.005	0	0	0.085	0.015	0.005	0.0188679245283019	0	0.03	0	0.02	0.0125786163522013	0.0620689655172414	0.0810810810810811	0.005	0.0575539568345324	0.01	0	0.0285714285714286	0.035	0.0147058823529412	0.035	0.02	0.024390243902439	0.028169014084507	0.0352112676056338
"HALLMARK_APICAL_SURFACE"	0.0444444444444444	0.0444444444444444	0.0444444444444444	0.0222222222222222	0.0232558139534884	0.0222222222222222	0.0444444444444444	0.0222222222222222	0.0222222222222222	0.0888888888888889	0.0303030303030303	0.0222222222222222	0.0222222222222222	0	0.0444444444444444	0.0222222222222222	0.0444444444444444	0.0222222222222222	0.0222222222222222	0.111111111111111	1	0.0540540540540541	0.0888888888888889	0.0222222222222222	0.0444444444444444	0.0222222222222222	0.0222222222222222	0	0.0222222222222222	0.0666666666666667	0.111111111111111	0	0.0444444444444444	0	0.0222222222222222	0.0222222222222222	0.0222222222222222	0.0444444444444444	0.0222222222222222	0.0540540540540541	0	0.0222222222222222	0.0222222222222222	0.0222222222222222	0.0222222222222222	0.111111111111111	0.0444444444444444	0.0666666666666667	0.0222222222222222	0.024390243902439	0.0222222222222222	0.0666666666666667
"HALLMARK_HEDGEHOG_SIGNALING"	0.0540540540540541	0.0810810810810811	0.027027027027027	0.108108108108108	0.108108108108108	0.027027027027027	0.0540540540540541	0.027027027027027	0.0540540540540541	0.027027027027027	0.0303030303030303	0	0.027027027027027	0	0.0540540540540541	0.0540540540540541	0.027027027027027	0.027027027027027	0.027027027027027	0.108108108108108	0.0540540540540541	1	0.0540540540540541	0.0540540540540541	0.027027027027027	0.027027027027027	0	0	0.027027027027027	0.0810810810810811	0	0.0540540540540541	0.027027027027027	0	0.0540540540540541	0.027027027027027	0.027027027027027	0.027027027027027	0.0810810810810811	0.0810810810810811	0	0.0540540540540541	0.0540540540540541	0.027027027027027	0.027027027027027	0.0540540540540541	0.027027027027027	0.027027027027027	0.027027027027027	0.0540540540540541	0.027027027027027	0.027027027027027
"HALLMARK_COMPLEMENT"	0.08	0.055	0.08	0.005	0.0232558139534884	0.0181818181818182	0.0795454545454545	0.00662251655629139	0	0.0864197530864197	0	0.02	0.01	0.03	0.00980392156862745	0.025	0.0206185567010309	0.0816326530612245	0.115	0.03	0.0888888888888889	0.0540540540540541	1	0.0175438596491228	0.0377358490566038	0.025	0	0	0	0.06	0.105	0.05	0.0251572327044025	0.015	0.025	0.02	0.02	0.0628930817610063	0.0206896551724138	0.0540540540540541	0.025	0.410071942446043	0.03	0.00884955752212389	0	0.075	0.00735294117647059	0.05	0.015	0.024390243902439	0.0352112676056338	0.0915492957746479
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.043859649122807	0.0701754385964912	0.0266666666666667	0.0175438596491228	0.0232558139534884	0.0181818181818182	0.0113636363636364	0.0087719298245614	0.0526315789473684	0.0263157894736842	0.0303030303030303	0.0263157894736842	0.043859649122807	0.0350877192982456	0.0294117647058824	0.0175438596491228	0.0309278350515464	0.0102040816326531	0.0263157894736842	0.0087719298245614	0.0222222222222222	0.0540540540540541	0.0175438596491228	1	0.0377358490566038	0.149122807017544	0.0526315789473684	0.087719298245614	0.101694915254237	0.0087719298245614	0.0087719298245614	0.0087719298245614	0.0087719298245614	0.0087719298245614	0.0526315789473684	0.02	0.0263157894736842	0.0526315789473684	0.0087719298245614	0.0540540540540541	0.0087719298245614	0.0087719298245614	0.0087719298245614	0.00884955752212389	0.00952380952380952	0.0175438596491228	0.0087719298245614	0.0087719298245614	0	0.0975609756097561	0.0087719298245614	0.0087719298245614
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.0283018867924528	0.0660377358490566	0.0266666666666667	0.0377358490566038	0.0232558139534884	0.0727272727272727	0.0795454545454545	0.00943396226415094	0.0377358490566038	0.0660377358490566	0.0303030303030303	0	0.0283018867924528	0.0188679245283019	0.0294117647058824	0.0283018867924528	0.0721649484536082	0.0204081632653061	0.0471698113207547	0.0566037735849057	0.0444444444444444	0.027027027027027	0.0377358490566038	0.0377358490566038	1	0.19811320754717	0.0377358490566038	0.0283018867924528	0.0338983050847458	0	0.0283018867924528	0.00943396226415094	0.00943396226415094	0	0.0283018867924528	0.02	0.0566037735849057	0.0283018867924528	0.0377358490566038	0.027027027027027	0.0188679245283019	0.0188679245283019	0.00943396226415094	0.0188679245283019	0.019047619047619	0.10377358490566	0.0377358490566038	0.0377358490566038	0.00943396226415094	0.024390243902439	0.0188679245283019	0.0377358490566038
"HALLMARK_MTORC1_SIGNALING"	0.05	0.155	0.253333333333333	0.02	0	0.0363636363636364	0.0113636363636364	0.0198675496688742	0.045	0.0617283950617284	0	0.07	0.05	0.055	0.107843137254902	0.025	0.0515463917525773	0.0306122448979592	0.04	0.02	0.0222222222222222	0.027027027027027	0.025	0.149122807017544	0.19811320754717	1	0.07	0.095	0.152542372881356	0.01	0.025	0.06	0.0628930817610063	0.035	0.135	0.12	0.055	0.0691823899371069	0.0482758620689655	0.027027027027027	0.05	0.0215827338129496	0.045	0.0530973451327434	0.0666666666666667	0.02	0.0220588235294118	0.025	0.005	0.024390243902439	0	0.0422535211267606
"HALLMARK_E2F_TARGETS"	0.01	0.01	0	0.095	0.0465116279069767	0	0	0.0993377483443709	0.365	0.0432098765432099	0	0.01	0.005	0.02	0.0196078431372549	0.005	0.0206185567010309	0	0.01	0.005	0.0222222222222222	0	0	0.0526315789473684	0.0377358490566038	0.07	1	0.175	0.203389830508475	0.005	0.01	0	0.0125786163522013	0	0.035	0.02	0.035	0.0188679245283019	0.0137931034482759	0	0.005	0	0.01	0	0.0285714285714286	0.015	0.0441176470588235	0	0.005	0	0	0
"HALLMARK_MYC_TARGETS_V1"	0.005	0.01	0	0.005	0.0697674418604651	0	0	0.0529801324503311	0.145	0.0123456790123457	0.0303030303030303	0.015	0.005	0.01	0.0196078431372549	0.005	0.0103092783505155	0	0.01	0	0	0	0	0.087719298245614	0.0283018867924528	0.095	0.175	1	0.305084745762712	0.005	0.005	0.02	0.0251572327044025	0.055	0.025	0.02	0.015	0.0377358490566038	0.00689655172413793	0	0.005	0	0.01	0	0.0380952380952381	0.025	0.0147058823529412	0	0	0	0	0
"HALLMARK_MYC_TARGETS_V2"	0.0338983050847458	0.0169491525423729	0.0338983050847458	0.0169491525423729	0.0465116279069767	0.0181818181818182	0.0169491525423729	0.0169491525423729	0.101694915254237	0.0169491525423729	0.0303030303030303	0.0169491525423729	0.0508474576271186	0.0508474576271186	0.0677966101694915	0	0.0169491525423729	0.0169491525423729	0	0	0.0222222222222222	0.027027027027027	0	0.101694915254237	0.0338983050847458	0.152542372881356	0.203389830508475	0.305084745762712	1	0	0.0169491525423729	0.0169491525423729	0.0169491525423729	0.0169491525423729	0.0169491525423729	0.02	0	0.0169491525423729	0.0338983050847458	0.027027027027027	0.0169491525423729	0.0169491525423729	0.0847457627118644	0.0169491525423729	0.0169491525423729	0.0169491525423729	0.0169491525423729	0	0	0.024390243902439	0.0169491525423729	0.0169491525423729
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.11	0.09	0.0266666666666667	0.015	0.0465116279069767	0.0909090909090909	0.0909090909090909	0	0.01	0.111111111111111	0.0606060606060606	0.015	0.03	0.04	0.0294117647058824	0.1	0.0103092783505155	0.0102040816326531	0.025	0.085	0.0666666666666667	0.0810810810810811	0.06	0.0087719298245614	0	0.01	0.005	0.005	0	1	0.065	0.025	0.0125786163522013	0	0.07	0	0.035	0.0440251572327044	0.137931034482759	0.324324324324324	0.005	0.129496402877698	0.05	0	0.00952380952380952	0.045	0	0.045	0.005	0	0.183098591549296	0.0352112676056338
"HALLMARK_INFLAMMATORY_RESPONSE"	0.255	0.055	0.0266666666666667	0.01	0.0232558139534884	0.0363636363636364	0.261363636363636	0.0132450331125828	0.015	0.0987654320987654	0.0303030303030303	0.005	0.025	0.005	0.0196078431372549	0.02	0.0206185567010309	0.173469387755102	0.185	0.015	0.111111111111111	0	0.105	0.0087719298245614	0.0283018867924528	0.025	0.01	0.005	0.0169491525423729	0.065	1	0.025	0	0	0.025	0.02	0.06	0.0628930817610063	0.103448275862069	0.0810810810810811	0.015	0.0647482014388489	0.1	0.0265486725663717	0	0.185	0	0.08	0.03	0	0.0633802816901408	0.147887323943662
